ProductId,title,group,total_review_count,average_rating
734,Soft Sounds,Music,1,5
753,That's Life,Music,2,4.5
758,The Five Heartbeats,Video,65,4.5
762,Washed Up and Through the Ringer,Music,7,3
767,Nana,Book,13,4.5
772,Devil Without a Cause [Clean],Music,67,4
780,Tropical Nights,Music,11,4.5
795,Bent [Australia],Music,4,5
800,Platypus (Platypus),Book,2,3.5
802,"Hullabaloo, Vols. 9-12",DVD,2,3.5
808,The Best of the Royal Guardsmen,Music,3,4
809,New American Gospel,Music,65,4
841,Desktop Digital Studio (Sound on Sound),Book,2,2.5
894,Tab in the Ocean,Music,5,3.5
895,Journey to the Centre of the Eye,Music,7,4.5
897,Down to Earth,Music,12,4.5
901,Recycled,Music,15,3.5
922,Party Tyme Karaoke CD Kids Songs,Toy,2,5
942,Queen of the Damned (Clean),Music,8,4
943,Titanic,Video,1817,3.5
955,Easy Spanish for Construction,Book,1,4
966,Still in the Game,Music,26,4.5
970,The Specialist,Video,36,3
991,Little Miss Dynamite [Bear Family],Music,6,5
1076,Brahms: Clarinet Sonatas Nos. 1 & 2,Music,1,5
1083,New Favorite,Music,137,4.5
1088,Spencer the Rover is Alive and Well,Music,3,4.5
1100,She,Music,15,3.5
1101,Party Tyme Karaoke: Christmas Sing-A-Long,Music,0,0
1120,Cinderella - An Original Walt Disney Records Sountrack,Music,7,3.5
1123,Jungle Book,Music,12,4.5
1133,Patriotic Songs & Marches,Music,5,3
1135,The Lonely One,Music,2,4.5
1148,Christmas Joy,Music,3,4.5
1160,Eliminator,Music,32,4.5
1162,Inarticulate Speech of the Heart,Music,10,4.5
1165,Counting Kisses,Book,36,4.5
1166,Subterranean Jungle,Music,19,4
1170,Whammy!,Music,14,4
1177,Blade Runner: Orchestral Adaptation Of Music Composed For The Motion Picture By Vangelis,Music,23,3
1178,Trouble in Paradise,Music,4,4.5
1179,Absolutely Live,Music,12,4
1181,Another Page,Music,13,4.5
1189,Temptation Eyes,Music,3,4.5
1200,Half Breed,Music,12,4
1218,1999,Music,92,5
1239,Beethoven & Brahms: Violin Concertos,Music,1,5
1263,The Lonely Lady,Video,14,3.5
1278,Back Stage,DVD,10,4
1283,Lilith Fair - A Celebration of Women in Music,Video,14,4
1287,Lilith Fair - A Celebration of Women in Music,DVD,14,4
1288,I Got The Hook-Up,DVD,37,3.5
1293,Ride,DVD,9,3.5
1312,Willy Wonka & The Chocolate Factory (30th Anniversary Edition),Video,261,4.5
1328,Jeremiah Freed,Music,20,4.5
1329,Stairway to Heaven: Led Zeppelin Uncensored,Book,49,3
1331,Diana Ross [1970] [Bonus Tracks],Music,33,5
1332,The Supremes Sing Rodgers & Hart: The Complete Recordings,Music,12,4.5
1334,Going to Go-Go / Away We Go-Go,Music,4,4.5
1337,Fortunate,Music,12,4.5
1359,This Ain't a Game,Music,42,3.5
1362,Stealing Home,DVD,48,4.5
1402,Gold Collection,Music,0,0
1404,Mellow Gold [CLEAN VERSION],Music,5,3.5
1407,In Utero [Clean],Music,28,4.5
1427,Christmas at the Pops [RCA],Music,1,4
1437,"Workbook in Spanish First Year (2nd Ed., R 44 W)",Book,3,4.5
1488,A Guide for Using Romeo and Juliet in the Classroom,Book,0,0
1491,Shakes the Clown,Video,43,4.5
1503,Introduction to the Creation of Electroacoustic Music (Music),Book,4,4.5
1504,Cujo,DVD,56,3.5
1505,DK Nature Encyclopedia,Book,3,5
1509,Live for Now,Music,3,4.5
1518,A Whiter Shade of Pale/A Question of Honour,Music,27,4
1520,Meet the Temptations,Music,11,4.5
1524,The Boss,Music,41,5
1526,Diana,Music,22,5
1532,Synthetic Division,Music,0,0
1533,Gettin Ready,Music,14,5
1541,Man Ray,Music,12,4.5
1547,A Day Without Rain,Music,647,4.5
1550,Reinventing Comics : How Imagination and Technology Are Revolutionizing an Art Form,Book,27,3.5
1561,Million Dollar Secret,Music,6,5
1575,The Essentials,Music,2,3
1580,Billy Joel - The Essential Video Collection,DVD,18,4
1588,Fragile [Bonus Tracks],Music,47,4.5
1593,Very Best of Frankie Valli and the Four Seasons,Music,14,5
1598,The Yes Album [Bonus Tracks],Music,38,4.5
1600,View from the Top [Bonus Tracks],Music,7,2.5
1608,Sarah Brightman - La Luna (Live in Concert),DVD,103,4.5
1613,Greatest Hits,Music,6,5
1623,Rag & Bone Buffet,Music,15,4
1625,The Crazies,DVD,22,3.5
1631,Arabian Nights,DVD,47,4.5
1654,The Playaz Court,DVD,5,4
1672,"Latin Oldies, Vol. 4",Music,1,4
1678,Just Married,DVD,142,3
1687,Whitney Houston - Greatest Hits,DVD,43,4.5
1703,Roy Buchanan: American Axe,Book,13,5
1711,Heaven & Earth: A Tapestry of Worship,Music,14,5
1717,Elastica [Deceptive],Music,37,4.5
1735,Hungry,Music,2,5
1745,Special Brew,Music,1,5
1761,Ulee's Gold,Video,14,4.5
1804,"Michelin THE GREEN GUIDE Mexico Guatemala Belize, 2nd (THE GREEN GUIDE)",Book,0,0
1809,Timeless Wisdom: Illuminating Thoughts on the Art of Living,Book,6,5
1831,And Someone Left the Cake Out in the Rain...,Music,3,4.5
1832,Rock & Roll Music to the World,Music,13,4.5
1844,Treason by the Book,Book,14,4.5
1858,Cyber Reader: Critical Writings for the Digital Era,Book,1,5
1864,Zoom City (Growing Tree),Book,11,4
1875,The Scarlet Empress - Criterion Collection,DVD,28,4
1904,"Beethoven: Symphonies Nos. 1, 2, 4, 5",Music,8,4.5
1909,Breath from Another,Music,124,4.5
1911,Sunburn,Music,200,4.5
1912,Dvorak: Symphonies Nos. 7-9; Smetana: The Moldau,Music,4,4.5
1918,The Stations of the Cross With Pope John Paul II,Book,2,4.5
1920,"Verdi - Otello / Domingo, Studer, Leiferkus, Vargas, D. Graves, Schade, D'Arcangelo, Chung",Music,25,4.5
1925,Wagner: Overture & Preludes,Music,6,5
1931,Rachmaninov: Symphony No2; Rock Op7,Music,3,4.5
1935,Journey - Greatest Hits Live,Music,37,4.5
1937,"Antonin Dvorak: Quintet For Piano, 2 Violins, Viola And Cello, Op. 81/Quartet For Piano, Violin, Viola And Cello,Op.",Music,4,5
1938,Ben Folds Five - The Complete Sessions at West 54th,DVD,35,4.5
1953,New Millennium Hip-Hop Party,Music,8,4.5
1957,The Complete Vanguard Recordings,Music,2,5
1965,Under the Covers,Music,19,4
1978,Come on Christmas,Music,11,5
1986,Reachin' Back,Music,7,5
2012,Joni Mitchell: Painting with Words and Music,Video,0,0
2018,Grits Sandwiches for Breakfast,Music,26,3.5
2019,Bullets Over Broadway: Music From The Motion Picture,Music,2,4.5
2046,Juice Newton - Greatest Country Hits,Music,4,4.5
2058,Fletch,DVD,71,4.5
2064,The Long and Winding Road: The Beatles Story,Music,0,0
2066,Music for Pleasure: Essays in the Sociology of Pop,Book,0,0
2091,Top Percussion,Music,8,4.5
2092,15 Grandes Exitos de Nicola Di Bari en Espanol,Music,4,4.5
2099,Scarface,Music,12,4
2147,The Post Wave,Music,8,3.5
2152,Art for Dummies,Book,19,3
2186,"Mama, Do You Love Me?",Book,28,4.5
2206,James Taylor: Long Ago and Far Away,Book,26,4
2216,Lethal Weapon 3,DVD,30,3.5
2223,Family Linen,Book,17,3.5
2229,It Looked Like Spilt Milk,Book,6,5
2245,The Ladder,Music,255,4
2249,Danzig 4,Music,12,4
2272,The Mack,Music,10,5
2277,Del Amanecer,Music,5,5
2302,Johnny Mnemonic (Superbit Collection),DVD,68,3
2303,Robert Altman's Pret-A-Porter (Ready To Wear): Music From The Motion Picture,Music,4,4.5
2305,Following,DVD,41,4
2312,"We're in This Together, Pt. 3",Music,9,4
2325,"Rousseau's Political Writings: Discourse on Inequality, Discourse on Political Economy on Social Contract (Norton Critical Editions)",Book,2,2
2356,Forever,Music,218,3
2367,King's Christmas Collection,Music,1,5
2395,Groupies,DVD,2,3.5
2492,Hand Rhymes (Picture Puffins),Book,1,4
2499,MTV Unplugged,Music,66,4.5
2553,"Moon Handbooks Australia, Second Edition",Book,4,5
2555,The Glass Menagerie CD,Book,108,3.5
2571,Firing Squad,Music,11,4.5
2606,Neither Here Nor There : Travels in Europe,Book,118,4
2607,Love and Responsibility,Book,11,5
2624,"Berlioz: Harold in Italy, Op. 16 & La Mort de Cléopâtre",Music,1,5
2627,Together After Five [Bonus Tracks],Music,1,5
2628,Christmas in Morning After: Celebration in Brass,Music,1,4
2669,Sir Douglas Quintet + 2 = Honkey Blues [Bonus Tracks],Music,2,5
2685,Animal Farm,Book,992,4.5
2689,"In Focus Guatemala: A Guide to the People, Politics and Culture",Book,1,4
2699,Dear God,Music,1,5
2702,Woo: Music From The Motion Picture,Music,5,4.5
2708,The Haunting: Original Motion Picture Soundtrack,Music,25,4
2709,Tonight the Stars Revolt,Music,200,4.5
2711,Harrison Ford Collection (The Fugitive - Special Edition/Presumed Innocent/Frantic),DVD,0,0
2718,A Centennial Anthology of His Decca Recordings,Music,5,5
2720,Mel Gibson New Collection (Conspiracy Theory/Maverick/Forever Young),DVD,0,0
2721,At the Show,Music,62,5
2722,20th Century Masters: Classic Patsy Cline (Millennium Collection),Music,3,5
2723,"Old School Love Songs, Vol. 5",Music,0,0
2724,Shalamar - Greatest Hits [Right Stuff],Music,19,4
2725,Return Of The Grievous Angel: Tribute To Gram Parsons,Music,73,4.5
2735,Jon Secada - Greatest Hits,Music,8,4.5
2737,Absolutely the Best,Music,9,4
2748,Astra,Music,33,3.5
2751,Soul Spectacular! The Greatest Soul Hits of All Time,Music,8,4
2762,The World of Sherlock Holmes: The Facts and Fiction Behind the World's Greatest Detective,Book,2,4.5
2764,Here Comes the Bride,Music,0,0
2767,The Dramatic Jackpot,Music,7,5
2783,Casablanca - Limited Edition Collector's Set,DVD,5,3
2815,Slipknot,Music,43,5
2834,Soul of Greece,Music,2,3.5
2843,Soul of Israel,Music,4,4.5
2855,Meddle,Music,1,3
2856,The Essential Dottie West,Music,5,5
2861,More,Music,2,5
2864,The Piper at the Gates of Dawn,Music,2,4.5
2865,Ummagumma,Music,5,5
2873,Dark Side of the Moon,Music,7,5
2875,The Wall,Music,5,4.5
2886,A&M Gold Series,Music,6,5
2892,"Television's Greatest Hits, Vol.6: Remote Control",Music,15,4
2903,Mrs. Doubtfire,Video,61,4.5
2907,Birthday Letters : Poems,Book,33,4.5
2912,Anthem,Music,4,4.5
2938,Classic Albums - Jimi Hendrix: Electric Ladyland,DVD,20,4
2980,"Ve, Perro. Ve! : Go, Dog. Go! (Bright & Early Board Books)",Book,0,0
2983,Tuhami : Portrait of a Moroccan,Book,0,0
2995,Big City,Music,5,5
2998,Tennessee Border,Music,1,5
3001,Smoke on the Mountain,Music,2,4
3013,The Sesame Street Word Book,Book,3,5
3047,Tribute,Music,47,5
3049,Classics [Japan Bonus DVD],Music,5,4.5
3051,Sessions V.13: Kings of Tomorrow Sessions,Music,0,0
3079,Pussy,Music,6,4.5
3084,Give It 2 'Em Raw,Music,44,4
3092,Vivadixiesubmarinetransmissionplot,Music,18,4.5
3095,Get Up on It,Music,16,4
3097,Doe or Die,Music,29,5
3102,Genesis: Inside & Out (1967-2000),Book,5,4
3103,Brown Sugar,Music,62,5
3104,Clueless: Original Motion Picture Soundtrack,Music,28,4
3108,Dead Presidents: Music From The Motion Picture,Music,5,5
3111,1776,Video,225,4.5
3125,Sun Tzu : The New Translation (The Art of War),Book,3,5
3162,Tomorrow the Green Grass (Reis),Music,44,5
3164,Supernatural,Music,15,4
3168,Tough Boris,Book,6,4.5
3172,Hollywood Town Hall (Reis),Music,44,4.5
3173,Divine Intervention (Reis),Music,74,4.5
3174,Unchained,Music,54,5
3176,American Recordings (Reis),Music,68,5
3191,"The Big O: Orgasms: How to Have Them, Give Them, and Keep Them Coming",Book,11,4
3204,Women Before 10 A.M.,Book,14,4
3238,Up and Down on the Merry-Go-Round,Book,2,4.5
3252,No Quarter: Jimmy Page & Robert Plant Unledded,Music,37,4
3280,Ocean of Sound,Book,5,5
3299,Kissing Jessica Stein,Video,124,4
3334,Songs for the Deaf (Limited Edition w/ Bonus DVD),Music,150,4.5
3361,Saving Monticello : The Levy Family's Epic Quest to Rescue the House that Jefferson Built,Book,29,5
3380,Little Women,Video,38,4
3385,Selected Dialogues of Plato : The Benjamin Jowett Translation (Modern Library Classics),Book,1,5
3402,"Beethoven - Missa Solemnis / Margiono, Robbin, Kendall, Miles, Gardiner",Music,21,5
3403,"Lift a Rock, Find a Bug (Chunky Flap Books)",Book,10,4.5
3405,Bach: Arias and Choruses from the St. Matthew Passion,Music,30,4
3410,Purcell - Dido and Aeneas / von Otter · Varcoe · Dawson · Rogers · The English Concert & Choir · Pinnock,Music,3,4
3414,"Handel - Messiah / Augér, von Otter, Chance, Crook, Tomlinson, English Concert,  Pinnock",Music,24,5
3420,The Best of Marvin Sease,Music,3,5
3449,Toward a Transpersonal Ecology: Developing New Foundations for Environmentalism,Book,0,0
3458,Wealth of Nations (Great Minds Series),Book,52,4
3466,Cookie Count: A Tasty Pop-Up,Book,14,5
3470,Dusty... Definitely [Bonus Tracks],Music,3,5
3475,"The Little Mouse, The Red Ripe Strawberry, and The Big Hungry Bear",Book,57,5
3486,Jean Sibelius / Carl Nielsen: Violin Concertos - Cho-Liang Lin / Philharmonia Orchestra / Swedish Radio Symphony Orchestra / Esa-Pekka Salonen,Music,7,5
3499,Journey - Greatest Hits,Music,180,4.5
3501,Journey - Greatest Hits,Music,180,4.5
3504,Delicate Sound of Thunder,Music,102,4
3509,Trombone Master,Music,5,5
3510,Invincible,Music,826,4.5
3511,The Collection,Music,7,4.5
3512,Indigos,Music,7,4.5
3520,Latin Kick,Music,2,5
3523,Cal Tjader's Latin Concert,Music,6,5
3525,Afro Eurasian Eclipse,Music,10,5
3526,Montreux 3,Music,0,0
3537,Subhuman Race,Music,35,4.5
3549,The Who - Live at the Isle of Wight Festival 1970,DVD,31,4
3551,The Lost Tapes,Music,4,5
3558,"Mozart - Great Mass in C Minor / Augér, Dawson, Ainsley, Thomas, AAM, Hogwood",Music,4,4
3560,The Sneak Attack,Music,44,4
3571,One Heart,Music,319,4
3577,Alice in Chains: Live Facelift,Video,11,4.5
3580,"Kiss/Girls & Boys [UK 3"" CD]",Music,3,4.5
3592,Deep Purple - Machine Head,DVD,18,4
3634,Neil Young: Reflections in Broken Glass,Book,4,3
3651,Does a Cow Say Boo?,Book,0,0
3655,Shakespeare in London: The Life and Times of the Real William Shakespeare,Video,1,3
3659,Maximum Dixie Chicks,Music,0,0
3713,My World: A Companion to Goodnight Moon,Book,19,3
3722,The Very Best of Joe Tex [Rhino],Music,6,5
3725,The Best of Miles Davis: The Capitol/Blue Note Years,Music,8,4.5
3730,Loaded (Fully Loaded Edition),Music,32,4.5
3748,Bach: French Suites,Music,3,3.5
3757,Haydn: Paris Symphonies,Music,8,5
3764,English and Italian Renaissance Madrigals,Music,3,4
3785,To End All Wars,Book,3,5
3793,Trick: Music From The Motion Picture,Music,29,4.5
3811,Three Early Modern Utopias (Oxford World's Classics),Book,1,5
3813,Local Hero,DVD,134,4.5
3821,"Jesse Bear, What Will You Wear?",Book,18,4.5
3827,Ramones: Lifestyles of the Rich and Ramones,Video,7,4.5
3830,Victor/Victoria,Book,2,5
3842,Smokey and the Bandit - The Soundtrack,Music,7,5
3882,Where The Fields Grow Green,Music,10,3.5
3914,Outlandos D'Americas: A Rock En Espanol Tribute To The Police,Music,3,4
3935,The Praise of Folly,Book,5,5
3955,Walk on the Water,Music,1,5
3966,Rhythms of Peace,Music,2,5
3985,Essential Rarities,Music,23,4.5
3987,Unplugged,Music,106,4.5
3995,The Thin Blue Line: An Errol Morris Film,Music,5,4
4006,Scary Movie 2,DVD,326,3
4007,Baby Boy,DVD,84,3.5
4014,Squee's Wonderful Big Giant Book of Unspeakable Horrors,Book,84,5
4016,Raymonda (Bolshoi Ballet),Video,5,3.5
4018,Rush Hour 2,Video,227,4
4023,Crazy/ Beautiful,DVD,105,4
4024,Rush Hour 2 (Infinifilm Edition),DVD,227,4
4027,Final Fantasy - The Spirits Within (Special Edition),DVD,660,4
4028,America's Sweethearts,DVD,175,3
4030,America's Sweethearts,Video,175,3
4031,The Affair of the Necklace,DVD,44,3.5
4035,Final Fantasy - The Spirits Within,Video,660,4
4036,Raised on Radio,Music,42,4
4040,Powaqqatsi (1988 Film),Music,17,5
4044,Escape,Music,68,4.5
4065,Thud,Music,0,0
4067,The Sun Don't Lie,Music,17,5
4077,Huxley's Brave New World (Cliffs Notes),Book,1,5
4082,Love Songs [2003],Music,2,4.5
4103,Fat History: Bodies and Beauty in the Modern West,Book,2,3.5
4105,Heavier Than Heaven: A Biography of Kurt Cobain,Book,206,4
4122,Way-Cool French Phrase Book : The French That Kids Really Speak,Book,0,0
4138,Supertoys Last All Summer Long: And Other Stories of Future Time,Book,15,2.5
4150,Flag,Music,7,4
4152,"Moby-Dick : or, The Whale (Penguin Classics)",Book,276,4
4192,When Your Heartstrings Break,Music,42,4
4209,The Filth and the Fury - A Sex Pistols Film,Video,73,4
4211,Sublime - 20th Century Masters: Millennium Collection,Music,16,3
4214,White Oleander,Music,7,3.5
4236,Gang Related,Video,24,4
4239,E.T. The Extra-Terrestrial [20th Anniversary Remaster],Music,1,5
4242,A Beautiful Mind [Original Score],Music,3,5
4258,The Elephant Man : A Study in Human Dignity,Book,9,4.5
4282,King Lear,DVD,28,4
4285,Pride and Prejudice (BBC TV Miniseries),DVD,682,4.5
4289,Bedrock,Music,72,4.5
4298,State Property,DVD,26,3
4300,Animal Folk Songs for Children: Traditional American Songs,Book,1,5
4305,When The Pawn...,Music,515,4.5
4308,The Happy Day,Book,1,4
4331,Blues at Sunrise: Live at Montreux,Music,10,4.5
4338,There's a Dragon in My Wagon! (Pop Into Phonics),Book,1,5
4348,How Sweet The Sound - 25 Favorite Hymns And Gospel Greats,Music,6,4.5
4365,Writer Ferrets: Chasing the Muse,Book,6,4.5
4373,German How to Speak and Write It (Beginners' Guides),Book,10,5
4386,The Education of Little Tree,Book,174,4
4391,The Communist Manifesto,Book,210,3.5
4392,Da Storm,Music,15,4
4398,The Illustrated I Ching,Book,10,5
4412,The Shocker,Music,35,4.5
4419,Bow Down,Music,48,4.5
4425,Anthology,Music,28,4.5
4438,Legendary Dolly Parton,Music,10,5
4499,Songs for the Withering,Music,6,4.5
4517,I'm as Quick as a Cricket,Book,19,5
4522,The E. M. Forster Trilogy (A Room with a View · Maurice · Howards End),Music,9,5
4523,A Celebration of Sellers,Music,4,4
4526,Anthologie,Music,4,5
4527,Fistful of Alice,Music,16,4
4533,Confidentially Yours,DVD,7,4.5
4537,An Intimate Evening with Anne Murray,DVD,5,4.5
4539,You and Me,Music,3,5
4540,Charles Aznavour - Greatest Golden Hits,Music,18,4
4545,The Rocketeer,Video,73,4
4555,"Haynes Vespa P/Px 125, 150 & 200 Scooters (Including T5): 1978 To 1995 Owners Workshop Manual (Haynes Motorcycle Repair Manuals)",Book,1,4
4569,Jacob the Liar,Video,4,4.5
4589,Von Ryan's Express,Video,31,4.5
4628,Rasta Ambassador [Bonus Track],Music,1,5
4638,Hamlet -  Criterion Collection,DVD,47,4.5
4643,Horror Wrestling,Music,28,4.5
4649,¿Dónde está el bebé?,Book,1,4
4664,"Using Information Technology: A Practical Introdution to Computers & Communications, Fifth Edition",Book,0,0
4665,Louie Louie: The Very Best of The Kingsmen,Music,3,5
4675,Body Heat,DVD,49,4.5
4692,Pause,Music,21,4.5
4700,Fortune Cookies,Music,47,4.5
4704,"South of Heaven, West of Hell",Music,11,4.5
4733,A Child's Celebration Of The World,Music,6,5
4743,Ghost World,DVD,303,4
4770,Together With Music (1955 Television Cast),Music,0,0
4775,The Illusion of Safety,Music,90,5
4782,The Best of Louis Jordan [MCA],Music,16,5
4787,"Olivia's Greatest Hits, Vol. 2",Music,23,4.5
4792,"""The Oak Ridge Boys - Greatest Hits, Vol. 1""",Music,5,4.5
4799,Together for the First Time...Live,Music,7,5
4802,Beverly Hills Cop: Music From The Motion Picture Soundtrack,Music,10,4
4806,Southern Accents,Music,22,4.5
4808,Streets Of Fire: A Rock & Roll Fable (1984 Film),Music,34,4.5
4815,Mel Bay's Complete Method for Modern Guitar (Mb93396),Book,0,0
4816,Sounds of the Season [Beast],Music,7,4
4824,Ten in the Bed,Book,1,4
4841,Now You See Inside,Music,168,4
4844,Sonatas for Violin & Piano,Music,1,5
4846,"J.S. Bach: Toccata, Partita, English Suite 2/ Martha Argerich",Music,18,5
4847,Mozart: Great Mass K427; Haydn: Te Deum / Fricsay,Music,4,5
4851,"Bach, Händel, Vivaldi, Benda / David & Igor Oistrach",Music,1,4
4854,Gone for Good (Ballantine Reader's Circle),Book,13,3.5
4907,"Good Night, Poppy and Max: A Bedtime Counting Book",Book,0,0
4908,New Drawing on the Right Side of the Brain Workbook:  Guided Practice in the Five Basic Skills of Drawing,Book,10,4
4917,Metanoia,Music,2,3
4923,Chess Blues Classics: 1957-1967,Music,3,4.5
4925,Deep Cover,DVD,30,4.5
4927,Belle Epoque,DVD,26,4.5
4937,Power Tool Stigmata,Music,31,4.5
4946,Machine,Music,160,4
4947,Best of Sarah Brightman: 1990-2000,Music,7,4.5
4949,Acoustica,Music,17,4
4953,Scissors Cut,Music,8,4
4955,Innocent Age,Music,25,5
4958,Columbia Historic Edition,Music,6,4.5
4960,Talk Talk Talk,Music,18,4.5
4961,Strauss: Wind Concertos,Music,5,5
4963,I've Got the Rock'n'Rolls Again,Music,14,4.5
4965,Fire of Unknown Origin,Music,49,4.5
4970,Wild Heart of the Young,Music,6,4
4979,Baby's First Songs In Spanish: Juguemos A Cantar,Music,2,4
4983,Ella & Duke at the Cote D'azur,Music,6,4
4985,Now Again,Music,24,4.5
5002,An Invitation to Prayer (Private Prayers of Pope John Paul II),Book,0,0
5037,Scooped,Music,7,4.5
5041,The Dead Zone,Video,77,4.5
5049,The Ultimate Sarah Vaughan,Music,11,4.5
5056,The Greedy Python,Book,4,4
5070,Pulp Fiction (Special Collector's Edition),Video,633,4.5
5075,Listening Book,Book,5,5
5085,Western Mexico : A Traveller's Treasury (3rd Edition),Book,2,5
5133,Rock Icons - Psychedelic High,DVD,8,2
5139,Tsar,Music,37,4.5
5156,Donovan's Greatest Hits,Music,52,4.5
5168,The Beach Boys: The Lost Concert,Video,15,4
5170,Devil in the Details,Music,9,4.5
5172,I Am...,Music,418,4.5
5180,Five Screenplays,Book,2,4.5
5237,Balkan Justice: The Story Behind the First International War Crimes Trial Since Nuremberg,Book,0,0
5241,Golden Wings/Magic Time,Music,10,5
5253,French (Quick & Simple),Book,8,4
5261,Waters of Eden,Music,21,4
5268,Street Angel + 2,Music,13,4.5
5286,Good as I Been to You,Music,31,4.5
5290,Which Doobie U B?,Music,5,4.5
5292,The Cosmopolitan Marlene Dietrich,Music,9,4.5
5308,Let Me Be Your Woman / Here's My Love,Music,6,4.5
5315,The Three Faces of Eve,Video,22,4
5327,Liza Live from Radio City Music Hall,Music,6,5
5328,In the Beginning,Music,34,5
5329,25,Music,6,4.5
5335,Don't Be A Menace To South Central While Drinking Your Juice in the Hood,Video,130,4.5
5337,Birds Bees & The Monkees,Music,37,3.5
5346,Share My World,Music,66,4.5
5347,Love Always,Music,95,5
5350,Mountain,Music,8,4.5
5357,Scent of a Woman,DVD,82,4.5
5359,Maxwell's Urban Hang Suite,Music,114,5
5360,Crime of the Century,Music,32,4.5
5375,Definitely Maybe,Music,167,4.5
5380,Forrest Gump: Original Motion Picture Score,Music,67,4.5
5383,Marching to Mars,Music,22,4
5389,Best of,Music,4,4.5
5393,Dude Ranch,Music,406,4.5
5397,Face Dances,Music,50,3.5
5398,It's Hard,Music,52,3.5
5406,The Long Kiss Goodnight,Video,97,4.5
5410,We're Going On A Bear Hunt,Book,33,5
5411,'70s Funk and Disco Bass : 101 Groovin' Bass Patterns (Bass Builders),Book,0,0
5444,Where the Wild Things Are (Caldecott Collection),Book,211,5
5449,Attila,Video,9,4
5458,Tom Jones: The Authoritative Text Contemporary Reactions Criticism (Norton Critical Editions),Book,1,5
5473,Cloak and Dagger,Video,3,2.5
5476,Secrets of the Samurai: A Survey of the Martial Arts of Feudal Japan,Book,21,4.5
5477,"Following the Equator : A Journey Around the World (Dover Books on Travel, Adventure)",Book,14,4
5490,Destiny,Music,28,4.5
5493,Singles [US/UK],Music,14,4.5
5498,Abriendo Puertas,Music,20,5
5501,Sings Songs of Faith & Inspiration,Music,1,5
5506,The Presidents of the United States of America,Music,79,4.5
5510,"Willie Nelson - Super Hits, Vol. 2",Music,0,0
5521,First Knight: Original Motion Picture Soundtrack,Music,19,4.5
5549,Hollywood Love Songs,Music,2,3
5552,The Lawnmower Man (New Line Platinum Series),DVD,36,3
5554,The Decameron,Book,29,5
5556,Tennessee Ernie Ford - Greatest Hits,Music,3,3.5
5568,Peeping Tom - Criterion Collection,DVD,46,4
